,name,path,file_path,size,modified,date,Data_set,Emotion,Emotion_string,audio
0,Joyce_audio-73.wav,/content/drive/MyDrive/Shared_SER_Mentia_Docs/Joyce_Audio/Joyce_audio-73.wav,/content/drive/MyDrive/Shared_SER_Mentia_Docs/Joyce_Audio/Joyce_audio-73.wav,233038,.wav,2021-10-16 4:31:47,joyce,1,Positive,"(array([-3.4878019e-07,  7.0265941e-07,  1.1947252e-06, ...,
        8.8476696e-07, -1.8383613e-06,  1.7316149e-06], dtype=float32), 8000)"
1,YAF_king_happy.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/YAF_king_happy.wav,89252,.wav,2021-01-25 21:03:38,Tess,1,Positive,"(array([0.00024366, 0.00044665, 0.00057873, ..., 0.0011553 , 0.00096269,
       0.        ], dtype=float32), 8000)"
2,OAF_cause_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/OAF_cause_ps.wav,95648,.wav,2021-01-25 21:03:18,Tess,1,Positive,"(array([ 7.59141694e-05,  1.18099066e-04,  4.59313851e-05, ...,
       -3.44172382e-04, -2.38455599e-04,  0.00000000e+00], dtype=float32), 8000)"
3,03-01-08-02-02-01-18.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/03-01-08-02-02-01-18.wav,431432,.wav,2021-01-25 21:02:48,Ravdness,1,Positive,"(array([ 0.0000000e+00,  0.0000000e+00,  0.0000000e+00, ...,
       -4.3224787e-07,  3.3143240e-07,  0.0000000e+00], dtype=float32), 8000)"
4,YAF_near_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/YAF_near_ps.wav,93174,.wav,2021-01-25 21:03:42,Tess,1,Positive,"(array([-2.2978913e-05,  6.7896262e-04,  7.4340630e-04, ...,
       -2.7066257e-04, -2.2872315e-04,  0.0000000e+00], dtype=float32), 8000)"
5,YAF_hire_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/YAF_hire_ps.wav,85958,.wav,2021-01-25 21:03:40,Tess,1,Positive,"(array([-7.0748138e-05, -9.1351866e-04, -1.0871291e-03, ...,
        5.3495675e-04, -4.7770198e-04,  0.0000000e+00], dtype=float32), 8000)"
6,03-01-08-01-02-01-14.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/03-01-08-01-02-01-14.wav,368498,.wav,2021-01-25 21:02:40,Ravdness,1,Positive,"(array([ 0.000000e+00,  0.000000e+00,  0.000000e+00, ..., -8.842544e-06,
       -9.566120e-06,  0.000000e+00], dtype=float32), 8000)"
7,03-01-03-01-02-02-22.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/03-01-03-01-02-02-22.wav,394790,.wav,2021-01-25 21:02:54,Ravdness,1,Positive,"(array([-3.8782596e-07,  5.2181679e-07, -6.7314960e-07, ...,
       -7.0061145e-07,  4.9594644e-07, -3.3606318e-07], dtype=float32), 8000)"
8,OAF_keen_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/OAF_keen_ps.wav,94212,.wav,2021-01-25 21:03:18,Tess,1,Positive,"(array([-3.3805558e-05, -1.1103588e-04, -1.1938082e-04, ...,
       -1.7619791e-04, -8.3928760e-05,  0.0000000e+00], dtype=float32), 8000)"
9,YAF_walk_happy.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/YAF_walk_happy.wav,104256,.wav,2021-01-25 21:03:38,Tess,1,Positive,"(array([-4.0907052e-04, -1.9638259e-03, -9.4732194e-04, ...,
        8.4422796e-04, -2.4448984e-05,  0.0000000e+00], dtype=float32), 8000)"
10,YAF_five_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/YAF_five_ps.wav,93530,.wav,2021-01-25 21:03:40,Tess,1,Positive,"(array([-0.00046854, -0.00159259, -0.00106169, ..., -0.00011402,
       -0.00011782,  0.        ], dtype=float32), 8000)"
11,Joyce_audio-84.wav,/content/drive/MyDrive/Shared_SER_Mentia_Docs/Joyce_Audio/Joyce_audio-84.wav,/content/drive/MyDrive/Shared_SER_Mentia_Docs/Joyce_Audio/Joyce_audio-84.wav,345934,.wav,2021-10-16 4:31:48,joyce,1,Positive,"(array([-7.9303038e-07, -2.7242588e-06, -6.4116784e-07, ...,
        3.7703193e-03,  3.4262654e-03,  4.1954014e-03], dtype=float32), 8000)"
12,OAF_peg_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/OAF_peg_ps.wav,101378,.wav,2021-01-25 21:03:18,Tess,1,Positive,"(array([-1.2707866e-06,  2.3068387e-05, -4.4378703e-06, ...,
        9.3760878e-05, -1.1806995e-04,  0.0000000e+00], dtype=float32), 8000)"
13,YAF_which_ps.wav,/content/drive/MyDrive/SER_ALL,/content/drive/MyDrive/SER_ALL/YAF_which_ps.wav,112482,.wav,2021-01-25 21:03:42,Tess,1,Positive,"(array([1.3332029e-05, 1.2366084e-04, 5.8012764e-04, ..., 4.2346411e-04,
       2.0989367e-04, 0.0000000e+00], dtype=float32), 8000)"
